_id,ANY,ORGÀNICA,PROGRAMA,ECONÒMICA,DESCRIPCIÓ PARTIDA,CRÈDITS INICIALS,MODIFICACIONS CRÈDIT,CRÈDITS TOTALS CONSIGNATS,DISPOSICIONS O COMPROMISOS,OBLIGACIONS RECONEGUDES,PAGAMENTS REALITZATS
76,2020,20706,43300,22699,Promoció-Dinamització PG-Despeses diverses,5000.00,0,5000.00,0,0,0
77,2020,20706,43300,44900,Promoció-Dinamització PG -Subv.a soc.merc.mpals.,925000.00,0,925000.00,0,0,0
78,2020,20706,43300,461,Promoció-Dinamització PG-A Diputació,142000.00,0,142000.00,0,0,0
79,2020,20706,43300,489,Promoció-Dinamització PG-A famíl.i institucions,80234.00,0,80234.00,0,0,0
80,2020,20706,43301,22799,Promoció-Prom.activ.empresarial-Treballs altres empreses,43410.00,0,43410.00,0,0,0
81,2020,20706,43301,22602,Promoció-Prom.activ.empresarial-Publicitat,0.00,0,0.00,0,0,0
82,2020,20706,43302,22799,Promoció-Dinamització Redessa-Treb.altres empreses,100000.00,0,100000.00,0,0,0
83,2020,20706,43303,489,Promoció-Suport iniciatives prom.eco.-Subvencions,28300.00,0,28300.00,0,0,0
84,2020,20706,43304,47001,Promoció-Impuls creació i creixement empreses-Subv.,86000.00,0,86000.00,0,0,0
85,2020,20706,43940,74900,Promoció-Activitat firal-Aport a soc mpals o prov,3816005.00,0,3816005.00,0,0,0
86,2020,20706,43950,22799,Promoció-Dinamit.promoc.empresarial-Treb.altr.emp.,17000.00,0,17000.00,0,0,0
87,2020,20706,43951,22799,Promocio-PECT NUTRISALT-D'altres treballs realit. alt. emp.,0.00,0,0.00,0,0,0
88,2020,20706,43951,641,Promocio-PECT-NUTRISALT-Despeses en aplic. informàtiques,0.00,0,0.00,0,0,0
89,2020,20706,43951,640,Promocio-PECT-NUTRISALT-Desp.inversions caràcter immaterial,10000.00,0,10000.00,0,0,0
90,2020,20706,49160,22100,Promocio-Televisió Local-Subministrament d'energia elèctrica,0.00,0,0.00,0,0,0
91,2020,20706,49160,22799,Promoció-Televisió local-Treballs realit.alt.emp.,244525.00,0,244525.00,0,0,0
92,2020,20711,13360,626,STIT-Mobilitat Smart Cities-Equips proc.informació,0.00,0,0.00,0,0,0
93,2020,20711,15000,640,STIT-Urbanisme-PG-Despeses inversions caràcter immaterial,0.00,0,0.00,0,0,0
94,2020,20711,49100,202,STIT-PG-Lloguer espais CEPID,0.00,0,0.00,0,0,0
95,2020,20711,49100,640,STIT-PG-Despeses inversions immaterial,367402.00,0,367402.00,0,0,0
96,2020,20711,49100,609,STIT-PG-Inversió nova infrastructura,0.00,0,0.00,0,0,0
97,2020,20711,49100,22799,STIT-PG-Treballs realitzats alt.emp.,51831.00,0,51831.00,0,0,0
98,2020,20711,49100,648,STIT-PG-Quotes per op.arrendament financer,0.00,0,0.00,0,0,0
99,2020,20711,49100,626,STIT-PG-Equips processos informació,133515.00,0,133515.00,0,0,0
100,2020,20711,49100,623,"STIT-PG-Maquinària,instal.l.acions i eines",0.00,0,0.00,0,0,0
101,2020,20711,49100,22002,STIT-PG-Subscripcions electròniques Mat. informàtica,0.00,0,0.00,0,0,0
102,2020,20711,49100,641,STIT-PG-Despeses en aplicacions informàtiques,0.00,0,0.00,0,0,0
103,2020,20711,49100,22699,STIT-PG-Despeses diverses,9523.00,0,9523.00,0,0,0
104,2020,20711,49100,629,STIT-PG-Altres Inversions  assoc. al funcionament servei,0.00,0,0.00,0,0,0
105,2020,20711,49100,64100,STIT-PG-Despeses en aplicacions informàtiques,0.00,0,0.00,0,0,0
106,2020,20711,49100,22701,STIT-PG-Seguretat,15573.00,0,15573.00,0,0,0
107,2020,20711,49100,206,STIT-PG-Arrend. equips processos informació,0.00,0,0.00,0,0,0
108,2020,20711,49100,22000,STIT-PG-Subscripcions electròniques mat.oficina,14520.00,0,14520.00,0,0,0
109,2020,20711,49110,22799,STIT-Microinformàtica-Treballs realitzats altres emp.,119049.00,0,119049.00,0,0,0
110,2020,20711,49110,22000,STIT-Microinformàtica-Material d'oficina,0.00,0,0.00,0,0,0
111,2020,20711,49110,213,STIT-Microinformàtica-Rep.mant.conserv.maquinaria,0.00,0,0.00,0,0,0
112,2020,20711,49110,216,STIT-Microinformàtica-Repar.mant.equips proc.impressió,121464.00,0,121464.00,0,0,0
113,2020,20711,49110,206,STIT-Microinfomàtica-Arrend. equips processos informació,0.00,0,0.00,0,0,0
114,2020,20711,49111,22799,STIT-Sistemes informatics base-Treballs realitzats,107092.00,0,107092.00,0,0,0
115,2020,20711,49112,22799,STIT-Telecomunicacions-Treballs realitzats alt.emp,32960.00,0,32960.00,0,0,0
116,2020,20711,49112,22200,STIT-Telecomunicacions-Comunic.Telefoniques,164180.00,0,164180.00,0,0,0
117,2020,20711,49113,208,STIT-Convenis RSM-Arrendament altre immob.material,0.00,0,0.00,0,0,0
118,2020,20711,49113,216,STIT-Convenis RSM-Repar.mant.equips proc.informació,0.00,0,0.00,0,0,0
119,2020,20711,49116,609,STIT-Smart Cities-Inversió nova infrastructura,0.00,0,0.00,0,0,0
120,2020,20711,49120,22799,STIT-Aplic.inform.i Adcio.electronica-Treballs rea,332361.00,0,332361.00,0,0,0
121,2020,20711,49121,22799,STIT-Sistemes gràfics-Treballs realitzats altres e,26749.00,0,26749.00,0,0,0
122,2020,21108,23101,489,Serveis Grals.-Ajuts econòmics-A fam.i inst.s.lucr,140000.00,0,140000.00,0,0,0
123,2020,21108,92000,22000,Serveis Grals.-PG-Material d'oficina,3000.00,0,3000.00,0,0,0
124,2020,21108,92000,22001,"Serveis Grals.-PG-Premsa,llibres i altres public.",0.00,0,0.00,0,0,0
125,2020,21108,92000,22101,Serveis Grals.-PG-Subministrament d'aigua,0.00,0,0.00,0,0,0
126,2020,21108,92000,23020,Serveis Grals.-PG-Dietes personal no directiu,10000.00,0,10000.00,0,0,0
127,2020,21108,92000,214,"Serveis Grals.-PG-Reparació,mant.mat.transport",14000.00,0,14000.00,0,0,0
128,2020,21108,92000,22799,Serveis Grals.-PG-Treballs realtitzats per empres.,5000.00,0,5000.00,0,0,0
129,2020,21108,92000,629,Serveis gral.-PG-Altres inversions,0.00,0,0.00,0,0,0
130,2020,21108,92000,625,Serveis Grals.-PG-Mobiliari i estris,0.00,0,0.00,0,0,0
131,2020,21108,92000,624,Serveis Grals.-PG-Elements de transport,0.00,0,0.00,0,0,0
132,2020,21108,92000,640,Serveis grals.-PG-Despeses inversions caràcter immaterial,0.00,0,0.00,0,0,0
133,2020,21108,92000,22706,Serveis Grals.-PG-Estudis i treballs tècnics,0.00,0,0.00,0,0,0
134,2020,21108,92000,22601,Serveis Grals.-PG-Atencions protocolàries i representatives,0.00,0,0.00,0,0,0
135,2020,21108,92000,44900,Serveis Grals.-PG-Subvencions a societats E.L.,1000.00,0,1000.00,0,0,0
136,2020,21108,92000,250,Serveis Grals.-PG-Encàrrecs RSM,262656.00,0,262656.00,0,0,0
137,2020,21108,92000,233,Serveis Grals.-PG-Altres indemnitzacions,3000.00,0,3000.00,0,0,0
138,2020,21108,92000,23120,Serveis Grals.-PG-Locomoció personal no directiu,15000.00,0,15000.00,0,0,0
139,2020,21108,92000,22103,Serveis Grals.-PG-Subministrament Combustibles i c,19000.00,0,19000.00,0,0,0
140,2020,21108,92000,22199,Serveis Grals.-PG-Altres subministraments,21000.00,0,21000.00,0,0,0
141,2020,21108,92000,22602,Serveis Grals.-PG-Publicitat,0.00,0,0.00,0,0,0
142,2020,21108,92000,22603,Serveis Grals-PG-Publicacions en Diaris Oficials,3000.00,0,3000.00,0,0,0
143,2020,21108,92000,22699,Serveis Grals.-PG-Despeses diverses,12000.00,0,12000.00,0,0,0
144,2020,21108,92000,22705,Serveis Grals.-PG-Processos electorals,0.00,0,0.00,0,0,0
145,2020,21108,92002,22799,Serveis Grals.-Organització-Treb.realt.altres emp.,40000.00,0,40000.00,0,0,0
146,2020,21108,92002,629,Altres Inversions  assoc. al funcionament servei,0.00,0,0.00,0,0,0
147,2020,21108,92012,22603,Serveis Grals-Contractació-Publicacions Diaris Of.,17000.00,0,17000.00,0,0,0
148,2020,21108,92012,22699,Serveis Grals.-Contractació-Despeses diverses,0.00,0,0.00,0,0,0
149,2020,21108,92012,224,Serveis Grals-Contractació-Assegurances,370000.00,0,370000.00,0,0,0
150,2020,21108,92012,233,Serveis Grals.-Contractació-Altres indemnitzacions,30000.00,0,30000.00,0,0,0
151,2020,21108,92012,22799,Serveis Grals-Contractació-Treballs altres emp.,1000.00,0,1000.00,0,0,0
152,2020,21108,92012,22604,Serveis Grals-Contractació-Jurídics i contenciosos,0.00,0,0.00,0,0,0
153,2020,21108,92012,22104,Serveis Grals-Contractació-Vestuari,30000.00,0,30000.00,0,0,0
154,2020,21108,92013,214,Serveis Grals.-Logística-Reparació vehicles,2500.00,0,2500.00,0,0,0
155,2020,21108,92013,22201,Serveis Grals.-Logística-Comunicacions postals,600000.00,0,600000.00,0,0,0
156,2020,21108,92013,22000,Serveis Grals.-Logística-Material d'oficina,118000.00,0,118000.00,0,0,0
157,2020,21108,92040,22100,Serveis Grals.-Edificis-Subministrament elèctric,235000.00,0,235000.00,0,0,0
158,2020,21108,92040,22101,Serveis grals.-Edificis-Subministrament aigua,120000.00,0,120000.00,0,0,0
159,2020,21108,92040,22110,Serveis Grals.-Edificis-Subministre prod.neteja,30000.00,0,30000.00,0,0,0
160,2020,21108,92040,22699,Serveis Grals.-Edificis-Despeses diverses,138000.00,0,138000.00,0,0,0
161,2020,21108,92040,22700,Serveis Grals.-Edificis-Neteja,777672.00,0,777672.00,0,0,0
162,2020,21108,92040,22799,Serveis Grals.-Edificis-Treballs realtitzats emp.,10000.00,0,10000.00,0,0,0
163,2020,21108,92040,202,Serveis Grals.-Edificis-Arrendament Edificis,0.00,0,0.00,0,0,0
164,2020,21108,92040,262,Serveis Grals.-Edificis-Treballs neteja inst.s.luc,10100.00,0,10100.00,0,0,0
165,2020,21108,92040,22701,Serveis Grals.-Edificis-Seguretat,173460.00,0,173460.00,0,0,0
166,2020,21108,92041,22799,Serveis Grals.-Edificis Prevenció-Treb.real.al.emp,20000.00,0,20000.00,0,0,0
167,2020,21108,92070,22604,"Serveis Grals.Responsab.patrimonial-Juridics,cont",1000.00,0,1000.00,0,0,0
168,2020,21108,92070,22699,Serveis Grals.Responsab.patrimonial-Desp.diverses,19000.00,0,19000.00,0,0,0
169,2020,21108,92080,22602,Serveis Grals.-Secretaria-Publicitat,0.00,0,0.00,0,0,0
170,2020,21108,92080,22603,Serveis Grals.-Secretaria i Asse.-Public.diaris of,7000.00,0,7000.00,0,0,0
171,2020,21108,92080,22604,Serveis Grals.-Secretaria i Asse.-Jurídics i cont.,78000.00,0,78000.00,0,0,0
172,2020,21108,92080,22001,"Serveis Grals.-Secretaria-Premsa,llibres i alt.publicacions",0.00,0,0.00,0,0,0
173,2020,21108,92080,22699,Serveis Grals.-Secretaria i Asse.-Desp.diverses,5000.00,0,5000.00,0,0,0
174,2020,21108,92090,22603,Serveis Grals.-RRHH-Publicacions en Diaris Oficials,0.00,0,0.00,0,0,0
175,2020,21108,92090,260,Serveis grals.-RRHH-Treb.real. per institucions sense lucre,0.00,0,0.00,0,0,0
176,2020,21108,92090,22799,Serveis Grals.-RRHH-Treballs realitzats per emp.,4000.00,0,4000.00,0,0,0
177,2020,21108,92090,22699,Serveis Grals.-RRHH-Despeses diverses,2000.00,0,2000.00,0,0,0
178,2020,21108,92090,22604,Serveis Grals.RRHH-Jurídics i contenciosos,0.00,0,0.00,0,0,0
179,2020,21108,92500,22706,Serveis Grals.-OAC-Estudis i treballs tècnics,0.00,0,0.00,0,0,0
180,2020,21108,92500,22699,Serveis Grals.-OAC.-Despeses .diverses,0.00,0,0.00,0,0,0
181,2020,21108,92510,202,Serveis Grals.-OAC Convenis-Arrendament edificis i,62986.00,0,62986.00,0,0,0
182,2020,21108,92520,489,Serveis Generals-Síndic Greuges-A fam. i inst sense ànim luc,0.00,0,0.00,0,0,0
183,2020,21108,92520,22699,Serveis Grals.-Síndic Greuges-Despeses diverses,3000.00,0,3000.00,0,0,0
184,2020,21108,92900,500,Serveis Generals-Imprevistos-Fons de contingència,1500000.00,0,1500000.00,0,0,0
185,2020,21109,13000,153,RRHH-Policia administrativa-Comp.especial dedicaci,2335.44,0,2335.44,0,0,0
186,2020,21109,13000,151,RRHH-Policia administrativa-Gratificacions,0.00,0,0.00,0,0,0
187,2020,21109,13000,150,RRHH-Policia administrativa-Productivitat,18276.00,0,18276.00,0,0,0
188,2020,21109,13000,13000,RRHH-Policia Administrativa-Retrib.basiques personal laboral,23060.06,0,23060.06,0,0,0
189,2020,21109,13000,12103,RRHH-Policia administrativa-Altres complements,0.00,0,0.00,0,0,0
190,2020,21109,13000,16000,RRHH-Policia administrativa-Seguretat social,39820.57,0,39820.57,0,0,0
191,2020,21109,13000,12100,RRHH-Policia Administrativa-Complement destí,19855.50,0,19855.50,0,0,0
192,2020,21109,13000,12009,RRHH-Policia administrativa-Altres retribucions bàsiques,6726.64,0,6726.64,0,0,0
193,2020,21109,13000,12006,RRHH-Policia administrativa-Trienis,4037.64,0,4037.64,0,0,0
194,2020,21109,13000,12004,RRHH-Policia administrativa-Sous grup C2,36678.60,0,36678.60,0,0,0
195,2020,21109,13000,12003,RRHH-Politica admistrativa-Sous Grup C1,0.00,0,0.00,0,0,0
196,2020,21109,13000,12101,RRHH-Policia administrativa-Complement específic,27533.38,0,27533.38,0,0,0
197,2020,21109,13200,12001,RRHH-Guardia urbana PG-Sous grup A2,0.00,0,0.00,0,0,0
198,2020,21109,13200,12003,RRHH-Guardia urbana PG-Sous grup C1,1372785.12,0,1372785.12,0,0,0
199,2020,21109,13200,12004,RRHH-Guardia Urbana PG-Sous del Grup C2,0.00,0,0.00,0,0,0
200,2020,21109,13200,12000,RRHH-Guàrdia urbana-Sous del Grup A1,0.00,0,0.00,0,0,0
201,2020,21109,13200,16000,RRHH-Guardia Urbana PG-Seguretat Social,1825985.40,0,1825985.40,0,0,0
202,2020,21109,13200,153,RRHH-Guardia urbana PG-Comp.especial dedicació,0.00,0,0.00,0,0,0
