COMARCA;POBLACIO;CODI_CENTRE;CENTRE;NATURALESA;ESTUDIS
Baix Llobregat;Martorell;8061609;Escola Mercè Rodoreda;Públic;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Molins de Rei;8061610;Escola La Sínia;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Molins de Rei;8061610;Escola La Sínia;Públic;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Torrelles de Llobregat;8061622;Escola Can Coll;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Torrelles de Llobregat;8061622;Escola Can Coll;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Cabrils;8061762;Escola Mas Maria;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Terrassa;8061774;Escola Les Arenes;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Terrassa;8061774;Escola Les Arenes;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Castellar del Vallès;8062614;Escola Joan Blanquer;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Castellar del Vallès;8062614;Escola Joan Blanquer;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Cerdanyola del Vallès;8062626;Escola Collserola;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Cerdanyola del Vallès;8062626;Escola Collserola;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Sabadell;8062638;Escola La Trama;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Sabadell;8062638;Escola La Trama;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Sant Cugat del Vallès;8062641;Escola L'Olivera;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Sant Cugat del Vallès;8062641;Escola L'Olivera;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8062675;Escola Pere IV;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8062675;Escola Pere IV;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Terrassa;8062687;Escola Ponent;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Terrassa;8062687;Escola Ponent;Públic;EDUCACIÓ PRIMÀRIA
Alt Penedès;Les Cabanyes;8062705;Escola La Cabana;Públic;EDUCACIÓ INFANTIL
Alt Penedès;Les Cabanyes;8062705;Escola La Cabana;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Cabrils;8062717;Institut Cabrils;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Vallès Oriental;Cardedeu;8062729;Institut Pla Marcell;Públic;ITINERARIS FORMATIUS ESPECÍFICS
Vallès Oriental;Cardedeu;8062729;Institut Pla Marcell;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Maresme;Dosrius;8062730;Institut Els Roures;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Vallès Occidental;Castellbisbal;8062742;Escola Benviure;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Castellbisbal;8062742;Escola Benviure;Públic;EDUCACIÓ PRIMÀRIA
Alt Penedès;Gelida;8062754;Escola Les Fonts;Públic;EDUCACIÓ INFANTIL
Alt Penedès;Gelida;8062754;Escola Les Fonts;Públic;EDUCACIÓ PRIMÀRIA
Bages;Sant Joan de Vilatorrada;8062778;Escola Ametllers;Públic;EDUCACIÓ INFANTIL
Bages;Sant Joan de Vilatorrada;8062778;Escola Ametllers;Públic;EDUCACIÓ PRIMÀRIA
Garraf;Sant Pere de Ribes;8062781;Escola Mediterrània;Públic;EDUCACIÓ INFANTIL
Garraf;Sant Pere de Ribes;8062781;Escola Mediterrània;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;Sant Pere de Vilamajor;8062791;Institut Vilamajor;Públic;BATXILLERAT
Vallès Oriental;Sant Pere de Vilamajor;8062791;Institut Vilamajor;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Maresme;Sant Vicenç de Montalt;8062808;Institut Esteve Albert;Públic;BATXILLERAT
Maresme;Sant Vicenç de Montalt;8062808;Institut Esteve Albert;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Vallès Oriental;Santa Maria de Palautordera;8062811;Escola Matagalls;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;Santa Maria de Palautordera;8062811;Escola Matagalls;Públic;EDUCACIÓ PRIMÀRIA
